passage	node	occurrence	OSMmorph	stemOSM	stemBHS	conjOSM	conjBHS	personOSM	personBHS	genderOSM	genderBHS	numberOSM	numberBHS
Psalms 67:2	321170	יְחָנֵּ֥נוּ	HVpi3ms	piel	qal	imperfect	imperfect	3	3	m	m	s	s
Psalms 68:3	321245	הִנְדֹּ֥ף	HVNc	niphal	qal	inf cons	inf cons	_	?	?	?	?	?
Psalms 68:24	321491	תִּֽמְחַ֥ץ	HVqi3fs	qal	qal	imperfect	imperfect	3	2	f	m	s	s
Psalms 69:26	321892	נְשַׁמָּ֑ה	HVNrfsa	niphal	?	part act	?	_	_	f	f	s	s
Psalms 69:32	321944	תִיטַ֣ב	HVqi3fs	qal	qal	imperfect	imperfect	3	2	f	m	s	s
Psalms 72:17	322495	ינין	HVhj3ms	hiphil	niphal	jussive	imperfect	3	3	m	m	s	s
Psalms 72:20	322528	כָּלּ֥וּ	HVPp3cp	pual	qal	perfect	perfect	3	3	c	?	p	p
Psalms 73:2	322548	נטוי	HVqsmsc	qal	qal	part pass	perfect	_	3	m	?	s	p
Psalms 73:2	322552	שׁפכה	HVQp3fs	qalpassive	pual	perfect	perfect	3	3	f	?	s	p
Psalms 73:10	322614	ישׁיב	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Psalms 74:13	322916	פֹורַ֣רְתָּ	HVmp2ms	poel	piel	perfect	perfect	2	2	m	m	s	s
Psalms 75:7	323092	הָרִֽים	HVhc	hiphil	?	inf cons	?	_	_	?	m	?	p
Psalms 75:11	323136	תְּ֝רֹומַ֗מְנָה	HVOi3fp	polal	pual	imperfect	imperfect	3	3	f	f	p	p
Psalms 76:6	323181	אֶשְׁתֹּולְל֨וּ	HVrp3cp	hithpolel	etpaal	perfect	perfect	3	3	c	?	p	p
Psalms 77:11	323360	חַלֹּ֣ותִי	HVqc	qal	piel	inf cons	inf cons	_	?	?	?	?	?
Psalms 77:12	323365	אזכיר	HVhi1cs	hiphil	qal	imperfect	imperfect	1	1	c	?	s	s
Psalms 77:18	323420	זֹ֤רְמוּ	HVmp3cp	poel	poel	perfect	perfect	3	3	c	?	p	p
Psalms 78:37	323869	נָכֹ֣ון	HVNrmsa	niphal	niphal	part act	perfect	_	3	m	m	s	s
Psalms 84:11	325121	הִ֭סְתֹּופֵף	HVzc	hithpoel	hithpael	inf cons	inf abs	_	?	?	?	?	?
Psalms 87:7	325533	חֹלְלִ֑ים	HVqrmpa	qal	piel	part act	part act	_	?	m	m	p	p
Psalms 88:1	325548	עַנֹּ֑ות	HVpa	piel	piel	inf abs	inf cons	_	?	?	?	?	?
Psalms 88:17	325708	צִמְּתוּתֻֽנִי	HVlp3cp	pilpel	piel	perfect	perfect	3	3	c	?	p	p
Psalms 89:18	325905	תרים	HVhi2ms	hiphil	qal	imperfect	imperfect	2	3	m	f	s	s
Psalms 89:44	326130	צ֣וּר	HNcmsc	tiphil	qal	?	inf cons	s	?	c	?	?	?
Psalms 90:2	326241	יֻלָּ֗דוּ	HVPi3mp	pual	pual	imperfect	perfect	3	3	m	?	p	p
Psalms 90:6	326297	יְמֹולֵ֥ל	HVmi3ms	poel	piel	imperfect	imperfect	3	3	m	m	s	s
Psalms 91:12	326520	תִּגֹּ֖ף	HVqi2ms	qal	qal	imperfect	imperfect	2	3	m	f	s	s
Psalms 92:2	326566	טֹ֗וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Psalms 93:5	326759	נַאֲוָה	HVNp3ms	niphal	piel	perfect	perfect	3	3	m	m	s	s
Psalms 94:19	326929	יְֽשַׁעַשְׁע֥וּ	HVli3mp	pilpel	piel	imperfect	imperfect	3	3	m	m	p	p
Psalms 101:5	327668	מלושׁני	HVmrmsc	poel	piel	part act	part act	_	?	m	m	s	s
Psalms 102:9	327809	מְ֝הֹולָלַ֗י	HVMsmpc	poal	piel	part pass	part act	_	?	m	m	p	p
Psalms 102:15	327873	יְחֹנֵֽנוּ	HVmi3mp	poel	piel	imperfect	imperfect	3	3	m	m	p	p
Psalms 103:14	328142	זָ֝כ֗וּר	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Psalms 105:19	328741	עֵ֥ת	HVqc	qal	?	inf cons	?	_	_	?	?	?	s
Psalms 106:1	328980	טֹ֑וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Psalms 106:19	329153	יִּשְׁתַּחֲו֗וּ	HVtw3mp	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	p	p
Psalms 107:1	329464	טֹ֑וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Psalms 107:9	329541	שֹׁקֵקָ֑ה	HVqrfsa	qal	?	part act	?	_	_	f	f	s	s
Psalms 112:5	330510	יְכַלְכֵּ֖ל	HVli3ms	pilpel	piel	imperfect	imperfect	3	3	m	m	s	s
Psalms 112:7	330531	בָּטֻ֥חַ	HVqsmsa	qal	?	part pass	?	_	_	m	m	s	s
Psalms 118:1	331078	טֹ֑וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Psalms 118:18	331223	יִסְּרַ֣נִּי	HVpp3ms	piel	piel	perfect	imperfect	3	3	m	m	s	s
Psalms 118:29	331322	טֹ֑וב	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Psalms 119:16	331437	אֶֽשְׁתַּעֲשָׁ֑ע	HVfi1cs	hithpalpel	hithpael	imperfect	imperfect	1	1	c	?	s	s
Psalms 119:38	331600	יִרְאָתֶֽךָ	HNcfsc	tiphil	qal	?	inf cons	s	?	c	?	?	?
Psalms 119:47	331669	אֶשְׁתַּֽעֲשַׁ֥ע	HVfi1cs	hithpalpel	hithpael	imperfect	imperfect	1	1	c	?	s	s
Psalms 119:60	331766	הִתְמַהְמָ֑הְתִּי	HVfp1cs	hithpalpel	hithpael	perfect	perfect	1	1	c	?	s	s
Psalms 119:70	331849	שִֽׁעֲשָֽׁעְתִּי	HVlp1cs	pilpel	piel	perfect	perfect	1	1	c	?	s	s
Psalms 119:73	331869	יְכֹונְנ֑וּנִי	HVoi3mp	polel	piel	imperfect	wayyiqtol	3	3	m	m	p	p
Psalms 119:79	331919	ידעו	HVqq3cp	qal	qal	weqatal	part act	3	?	c	m	p	p
Psalms 119:171	332615	תַּבַּ֣עְנָה	HVhi3fs	hiphil	hiphil	imperfect	imperfect	3	3	f	f	s	p
Psalms 121:3	332745	מֹּ֣וט	HVqc	qal	?	inf cons	?	_	_	?	m	?	s
Psalms 139:6	334398	נִ֝שְׂגְּבָ֗ה	HVNrfsa	niphal	niphal	part act	perfect	_	3	f	f	s	s
Psalms 139:20	334536	נָשֻׂ֖א	HVqp3cp	qal	qal	perfect	part pass	3	?	c	m	p	s
Psalms 139:21	334548	תְקֹומְמֶ֗יךָ	HNcmpc	tiphil	hithpael	?	part act	p	?	c	m	?	p
Psalms 140:10	334669	מְסִבָּ֑י	HVhrmpc	hiphil	?	part act	?	_	_	m	m	p	p
Psalms 140:10	334672	יכסומו	HVpj3mp	piel	piel	jussive	imperfect	3	3	m	m	p	s
Psalms 140:11	334673	ימיטו	HVhj3mp	hiphil	niphal	jussive	imperfect	3	3	m	m	p	p
Psalms 140:13	334697	ידעת	HVqp2ms	qal	qal	perfect	perfect	2	1	m	?	s	s
Psalms 144:14	335225	יֹוצֵ֑את	HVqrfsa	qal	?	part act	?	_	_	f	f	s	s
Psalms 147:11	335659	יְרֵאָ֑יו	HVqrmpc	qal	?	part act	?	_	_	m	m	p	p
Job 1:16	336364	בָּ֣א	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Job 1:17	336398	בָּ֣א	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Job 1:18	336434	בָּ֣א	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Job 1:20	336496	יִּשְׁתָּֽחוּ	HVtw3ms	hithpael	hishtaphel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Job 3:18	337012	שַׁאֲנָ֑נוּ	HVkp3cp	palel	piel	perfect	perfect	3	3	c	?	p	p
Job 4:2	337106	נִסָּ֬ה	HVNp3ms	niphal	piel	perfect	perfect	3	3	m	m	s	s
Job 6:29	337840	שׁבי	HVqv2fs	qal	qal	imperative	imperative	2	2	f	m	s	p
Job 8:14	338200	יָקֹ֥וט	HVqi3ms	qal	?	imperfect	?	3	_	m	?	s	s
Job 9:15	338411	מְשֹׁפְטִ֗י	HVmrmsc	poel	poel	part act	part act	_	?	m	m	s	s
Job 10:11	338696	תְּסֹכְכֵֽנִי	HVmi2ms	poel	piel	imperfect	imperfect	2	2	m	m	s	s
Job 11:5	338854	דַּבֵּ֑ר	HVpv2ms	piel	piel	imperative	inf cons	2	?	m	?	s	?
Job 11:17	338975	תָּ֝עֻ֗פָה	HVqi3fs	qal	?	imperfect	?	3	_	f	f	s	s
Job 13:27	339494	תָ֘שֵׂ֤ם	HVqi2ms	qal	hiphil	imperfect	imperfect	2	2	m	m	s	s
Job 14:2	339528	יִּמָּ֑ל	HVqw3ms	qal	niphal	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Job 15:7	339807	חֹולָֽלְתָּ	HVOp2ms	polal	pual	perfect	perfect	2	2	m	m	s	s
Job 15:32	340059	רַעֲנָֽנָה	HVkp3fs	palel	piel	perfect	perfect	3	3	f	f	s	s
Job 16:12	340199	יְפַרְפְּרֵ֗נִי	HVlw3ms	pilpel	piel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Job 16:12	340205	יְפַצְפְּצֵ֑נִי	HVlw3ms	pilpel	piel	wayyiqtol	wayyiqtol	3	3	m	m	s	s
Job 16:15	340238	עֹלַ֖לְתִּי	HVmp1cs	poel	piel	perfect	perfect	1	1	c	?	s	s
Job 16:16	340244	חמרמרה	HVjp3fp	pealal	piel	perfect	perfect	3	3	f	?	p	p
Job 17:3	340324	עָרְבֵ֣נִי	HVqv2ms	qal	qal	imperative	inf cons	2	?	m	?	s	?
Job 19:3	340658	תַּהְכְּרוּ	HVhi2mp	hiphil	qal	imperfect	imperfect	2	2	m	m	p	p
Job 21:13	341291	יֵחָֽתּוּ	HVqi3mp	qal	niphal	imperfect	imperfect	3	3	m	m	p	p
Job 22:21	341684	תְּֽבֹואַתְךָ֥	HVqi3fs	qal	?	imperfect	?	3	_	f	f	s	s
Job 23:9	341843	אָ֑חַז	HVqi1cs	qal	qal	imperfect	perfect	1	3	c	m	s	s
Job 23:10	341853	בְּ֝חָנַ֗נִי	HVqp3ms	qal	qal	perfect	imperative	3	2	m	m	s	s
Job 24:1	341931	ידעו	HVqrmsc	qal	qal	part act	part act	_	?	m	m	s	p
Job 24:6	341977	יקצירו	HVhi3mp	hiphil	qal	imperfect	imperfect	3	3	m	m	p	p
Job 24:24	342182	יִמָּֽלוּ	HVqi3mp	qal	niphal	imperfect	imperfect	3	3	m	m	p	p
Job 26:5	342286	יְחֹולָ֑לוּ	HVOi3mp	polal	pual	imperfect	imperfect	3	3	m	m	p	p
Job 26:9	342322	פַּרְשֵׁ֖ז	HVia	pilel	?	inf abs	?	_	_	?	?	?	s
Job 26:11	342337	יְרֹופָ֑פוּ	HVMi3mp	poal	piel	imperfect	imperfect	3	3	m	m	p	p
Job 26:13	342356	חֹֽלֲלָ֥ה	HVmp3fs	poel	piel	perfect	perfect	3	3	f	f	s	s
Job 28:2	342604	יֻקָּ֑ח	HVQi3ms	qalpassive	hophal	imperfect	imperfect	3	3	m	m	s	s
Job 28:2	342607	יָצ֥וּק	HVqi3ms	qal	qal	imperfect	part pass	3	?	m	m	s	s
Job 30:14	343239	הִתְגַּלְגָּֽלוּ	HVfp3cp	hithpalpel	hithpael	perfect	perfect	3	3	c	?	p	p
Job 30:22	343313	תשׁוה	HVPi2ms	pual	?	imperfect	?	2	_	m	f	s	s
Job 31:5	343449	תַּ֖חַשׁ	HVqw3fs	qal	hiphil	wayyiqtol	wayyiqtol	3	3	f	f	s	s
Job 31:8	343483	יְשֹׁרָֽשׁוּ	HVPi3mp	pual	poal	imperfect	imperfect	3	3	m	m	p	p
Job 31:13	343527	רִבָ֗ם	HVNc	niphal	?	inf cons	?	_	_	?	m	?	s
Job 31:31	343716	נִשְׂבָּֽע	HVNsmsa	niphal	qal	part pass	imperfect	_	1	m	?	s	p
Job 32:17	343999	אַעֲנֶ֣ה	HVqi1cs	qal	hiphil	imperfect	imperfect	1	1	c	?	s	s
Job 33:21	344236	שׁפי	HNcmsc	tiphil	pual	?	perfect	s	3	c	?	?	p
Job 33:21	344239	רֻאּֽוּ	HVQp3cp	qalpassive	pual	perfect	perfect	3	3	c	?	p	p
Job 33:25	344274	רֻֽטֲפַ֣שׁ	HVQp3ms	qalpassive	qal	perfect	perfect	3	3	m	m	s	s
Job 34:35	344713	הַשְׂכֵּֽיל	HVhc	hiphil	hiphil	inf cons	inf abs	_	?	?	?	?	?
Job 39:12	345938	ישׁוב	HVqi3ms	qal	hiphil	imperfect	imperfect	3	3	m	m	s	s
Job 42:2	346628	ידעת	HVqp2ms	qal	qal	perfect	perfect	2	1	m	?	s	s
Proverbs 1:20	347111	תָּרֹ֑נָּה	HVqi3fs	qal	qal	imperfect	imperfect	3	3	f	f	s	p
Proverbs 1:33	347243	שַׁאֲנַ֗ן	HVkq3ms	palel	piel	weqatal	perfect	3	3	m	m	s	s
Proverbs 2:7	347304	וצפן	HC	?	qal	?	imperfect	?	3	?	m	?	s
Proverbs 3:13	347568	יָפִ֥יק	HNcfsa	tiphil	hiphil	?	imperfect	s	3	a	m	?	s
Proverbs 4:8	347850	סַלְסְלֶ֥הָ	HVlv2ms	pilpel	piel	imperative	imperative	2	2	m	m	s	s
Proverbs 4:16	347933	יכשׁולו	HVqi3mp	qal	hiphil	imperfect	imperfect	3	3	m	m	p	p
Proverbs 5:6	348077	תְּפַלֵּ֑ס	HVpi3fs	piel	piel	imperfect	imperfect	3	2	f	m	s	s
Proverbs 5:13	348147	מְלַמְּדַ֗י	HVprmsc	piel	piel	part act	part act	_	?	m	m	s	p
Proverbs 6:19	348420	יָפִ֣יחַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 6:25	348484	תִּ֝קָּֽחֲךָ֗	HVqj2ms	qal	qal	jussive	imperfect	2	3	m	f	s	s
Proverbs 6:31	348545	נִמְצָא	HVNq3ms	niphal	niphal	weqatal	part act	3	?	m	m	s	s
Proverbs 7:16	348736	חֲ֝טֻבֹ֗ות	HNcfpc	tiphil	qal	?	part pass	p	?	c	f	?	p
Proverbs 8:3	348873	תָּרֹֽנָּה	HVqi3fs	qal	qal	imperfect	imperfect	3	3	f	f	s	p
Proverbs 8:15	348981	יְחֹ֣קְקוּ	HVmi3mp	poel	piel	imperfect	imperfect	3	3	m	m	p	p
Proverbs 8:24	349051	חֹולָ֑לְתִּי	HVOp1cs	polal	pual	perfect	perfect	1	1	c	?	s	s
Proverbs 8:25	349064	חֹולָֽלְתִּי	HVOp1cs	polal	pual	perfect	perfect	1	1	c	?	s	s
Proverbs 8:35	349166	מצאי	HVqrmpc	qal	qal	part act	perfect	_	3	m	m	p	s
Proverbs 10:4	349366	רָ֗אשׁ	HNcmsa	tiphil	qal	?	part act	s	?	a	m	?	s
Proverbs 11:25	349860	יֹורֶֽא	HVHi3ms	hophal	hiphil	imperfect	imperfect	3	3	m	m	s	s
Proverbs 12:9	349994	מְּתַכַּבֵּ֗ד	HVtrmsa	hithpael	tiphal	part act	part act	_	?	m	m	s	s
Proverbs 12:14	350043	ישׁוב	HVqi3ms	qal	hiphil	imperfect	imperfect	3	3	m	m	s	s
Proverbs 12:17	350065	יָפִ֣יחַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 13:20	350342	הלוך	HVqa	qal	qal	inf abs	part act	_	?	?	m	?	s
Proverbs 13:20	350345	וחכם	HC	?	qal	?	imperfect	?	3	?	m	?	s
Proverbs 14:5	350439	יָפִ֥יחַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 14:14	350518	ס֣וּג	HAamsc	?	qal	?	inf cons	s	?	c	?	?	?
Proverbs 14:21	350585	מְחֹונֵ֖ן	HVmrmsa	poel	piel	part act	part act	_	?	m	m	s	s
Proverbs 14:25	350621	יָפִ֖חַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 17:1	351345	מָלֵ֥א	HAamsa	?	qal	?	part act	s	?	a	m	?	s
Proverbs 17:13	351468	תמישׁ	HVhi3fs	hiphil	qal	imperfect	imperfect	3	3	f	f	s	s
Proverbs 17:14	351479	הִ֝תְגַּלַּ֗ע	HVtp3ms	hithpael	hithpael	perfect	inf cons	3	?	m	?	s	?
Proverbs 18:14	351746	יְכַלְכֵּ֣ל	HVli3ms	pilpel	piel	imperfect	imperfect	3	3	m	m	s	s
Proverbs 19:5	351890	יָפִ֥יחַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 19:9	351932	יָפִ֖יחַ	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 19:16	352001	יומת	HVHi3ms	hophal	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 20:30	352405	תמריק	HVhi3fs	hiphil	?	imperfect	?	3	_	f	m	s	s
Proverbs 21:29	352691	יכין	HVhi3ms	hiphil	qal	imperfect	imperfect	3	3	m	m	s	s
Proverbs 22:3	352737	יסתר	HVNi3ms	niphal	niphal	imperfect	perfect	3	3	m	m	s	s
Proverbs 23:5	353035	תעוף	HVqi2ms	qal	hiphil	imperfect	imperfect	2	2	m	m	s	s
Proverbs 23:5	353047	ועיף	HC	?	qal	?	imperfect	?	3	?	m	?	s
Proverbs 23:24	353239	וישׂמח	HC	?	qal	?	imperfect	?	3	?	m	?	s
Proverbs 24:7	353417	רָאמֹ֣ות	HVqrfpa	qal	?	part act	?	_	_	f	f	p	p
Proverbs 24:11	353454	מָטִ֥ים	HVqrmpa	qal	?	part act	?	_	_	m	m	p	p
Proverbs 24:17	353529	אויביך	HVqrmpc	qal	qal	part act	part act	_	?	m	m	p	s
Proverbs 25:2	353725	הַסְתֵּ֣ר	HVhv2ms	hiphil	hiphil	imperative	inf abs	2	?	m	?	s	?
Proverbs 25:19	353909	מוּעָ֑דֶת	HVQsfsa	qalpassive	qalpassive	part pass	part pass	_	?	f	f	s	s
Proverbs 26:10	354116	מְחֹֽולֵֽל	HVmrmsa	poel	piel	part act	part act	_	?	m	m	s	s
Proverbs 26:18	354191	מִתְלַהְלֵהַּ	HVfrmsa	hithpalpel	hithpael	part act	part act	_	?	m	m	s	s
Proverbs 26:21	354231	חַרְחַר	HVlc	pilpel	piel	inf cons	inf cons	_	?	?	?	?	?
Proverbs 27:15	354450	נִשְׁתָּוָֽה	HVDp3fs	nithpael	nithpael	perfect	perfect	3	3	f	m	s	s
Proverbs 27:17	354461	יָ֑חַד	HVhi3ms	hiphil	?	imperfect	?	3	_	m	m	s	s
Proverbs 27:17	354464	יַ֣חַד	HVhi3ms	hiphil	?	imperfect	?	3	_	m	m	s	s
Proverbs 28:16	354741	שׂנאי	HVqrmpc	qal	qal	part act	part act	_	?	m	m	p	s
Proverbs 29:6	354926	שָׂמֵֽחַ	HVqq3ms	qal	?	weqatal	?	3	_	m	m	s	s
Proverbs 29:8	354937	יָפִ֣יחוּ	HVhi3mp	hiphil	qal	imperfect	imperfect	3	3	m	m	p	p
Proverbs 31:16	355654	נטע	HVqp3ms	qal	qal	perfect	perfect	3	3	m	f	s	s
Proverbs 31:21	355702	לָבֻ֥שׁ	HVqsmsa	qal	?	part pass	?	_	_	m	m	s	s
Ruth 2:1	356235	מידע	HVPsmsa	pual	?	part pass	?	_	_	m	m	s	s
Ruth 2:4	356301	בָּ֚א	HVqrmsa	qal	qal	part act	perfect	_	3	m	m	s	s
Ruth 2:6	356347	שָּׁ֥בָה	HVqrfsa	qal	qal	part act	perfect	_	3	f	f	s	s
Ruth 2:16	356592	שֹׁל	HVqa	qal	qal	inf abs	inf cons	_	?	?	?	?	?
Ruth 2:20	356708	גֹּאֲלֵ֖נוּ	HVqrmsc	qal	qal	part act	part act	_	?	m	m	s	p
Ruth 3:3	356815	ירדתי	HVqq1cs	qal	qal	weqatal	perfect	1	2	c	f	s	s
Ruth 3:4	356848	שׁכבתי	HVqq1cs	qal	qal	weqatal	perfect	1	2	c	f	s	s
Ruth 4:5	357244	קניתי	HVqp1cs	qal	qal	perfect	perfect	1	2	c	m	s	s
Ruth 4:15	357499	כַלְכֵּ֖ל	HVlc	pilpel	piel	inf cons	inf cons	_	?	?	?	?	?
Song_of_songs 1:6	357664	נִֽחֲרוּ	HVNp3cp	niphal	piel	perfect	perfect	3	3	c	?	p	p
Song_of_songs 1:10	357726	נָאו֤וּ	HVqp3cp	qal	piel	perfect	perfect	3	3	c	?	p	p
Song_of_songs 2:13	357961	לכי	HVqv2fs	qal	?	imperative	?	2	_	f	_	s	_
Song_of_songs 3:2	358048	אֲסֹובְבָ֣ה	HVmh1cs	poel	piel	cohortative	imperfect	1	1	c	?	s	s
Song_of_songs 3:8	358159	אֲחֻ֣זֵי	HVqsmpc	qal	?	part pass	?	_	_	m	m	p	p
Song_of_songs 7:3	358903	סוּגָ֖ה	HVQsfsa	qalpassive	qal	part pass	part pass	_	?	f	f	s	s
Ecclesiastes 1:17	359557	דַ֥עַת	HVqc	qal	?	inf cons	?	_	_	?	f	?	s
Ecclesiastes 2:2	359600	מְהֹולָ֑ל	HVMsmsa	poal	pual	part pass	part pass	_	?	m	m	s	s
Ecclesiastes 4:1	360559	עֲשֻׁקִ֔ים	HVqsmpa	qal	?	part pass	?	_	_	m	m	p	p
Ecclesiastes 7:7	361568	יְהֹולֵ֣ל	HVmi3ms	poel	piel	imperfect	imperfect	3	3	m	m	s	s
Ecclesiastes 7:25	361830	בַקֵּ֥שׁ	HVpc	piel	piel	inf cons	inf abs	_	?	?	?	?	?
Ecclesiastes 8:13	362150	יָרֵ֖א	HVqrmsa	qal	?	part act	?	_	_	m	m	s	s
Ecclesiastes 9:3	362412	מָלֵא	HVqp3ms	qal	qal	perfect	part act	3	?	m	m	s	s
Ecclesiastes 9:12	362650	יֽוּקָשִׁים֙	HVPsmpa	pual	qal	part pass	part pass	_	?	m	m	p	p
Ecclesiastes 10:10	362874	קִלְקַ֔ל	HVlp3ms	pilpel	piel	perfect	perfect	3	3	m	m	s	s
Ecclesiastes 10:10	362880	הכשׁיר	HVhc	hiphil	hiphil	inf cons	inf abs	_	?	?	?	?	?
Ecclesiastes 12:6	363368	ירחק	HVqi3ms	qal	niphal	imperfect	imperfect	3	3	m	m	s	s
Ecclesiastes 12:13	363482	נִשְׁמָ֑ע	HVNp3ms	niphal	niphal	perfect	part act	3	?	m	m	s	s
Lamentations 1:12	363756	עֹולַ֖ל	HVMp3ms	poal	pual	perfect	perfect	3	3	m	m	s	s
Lamentations 1:20	363905	צַר	HAamsa	?	qal	?	perfect	s	3	a	m	?	s
Lamentations 1:20	363908	חֳמַרְמָ֔רוּ	HVjp3cp	pealal	piel	perfect	perfect	3	3	c	?	p	p
